fecha;festius;festius_sun;festius_sun_sat
1/1/19;Yes;Yes;Yes
2/1/19;No;No;No
3/1/19;No;No;Yes
4/1/19;No;No;No
5/1/19;No;No;No
6/1/19;No;Yes;Yes
7/1/19;Yes;No;No
8/1/19;Yes;No;No
9/1/19;Yes;No;No
10/1/19;Yes;No;Yes
11/1/19;Yes;No;No
12/1/19;Yes;No;No
13/1/19;No;Yes;Yes
14/1/19;Yes;No;No
15/1/19;Yes;No;No
16/1/19;Yes;No;No
17/1/19;Yes;No;Yes
18/1/19;Yes;No;No
19/1/19;Yes;No;No
20/1/19;No;Yes;Yes
21/1/19;Yes;No;No
22/1/19;Yes;No;No
23/1/19;Yes;No;No
24/1/19;Yes;No;Yes
25/1/19;Yes;No;No
26/1/19;Yes;No;No
27/1/19;No;Yes;Yes
28/1/19;Yes;No;No
29/1/19;Yes;No;No
30/1/19;Yes;No;No
31/1/19;Yes;No;Yes
1/2/19;Yes;No;No
2/2/19;Yes;No;No
3/2/19;No;Yes;Yes
4/2/19;Yes;No;No
5/2/19;Yes;No;No
6/2/19;Yes;No;No
7/2/19;Yes;No;Yes
8/2/19;Yes;No;No
9/2/19;Yes;No;No
10/2/19;No;Yes;Yes
11/2/19;Yes;No;No
12/2/19;Yes;No;No
13/2/19;Yes;No;No
14/2/19;Yes;No;Yes
15/2/19;Yes;No;No
16/2/19;Yes;No;No
17/2/19;No;Yes;Yes
18/2/19;Yes;No;No
19/2/19;Yes;No;No
20/2/19;Yes;No;No
21/2/19;Yes;No;Yes
22/2/19;Yes;No;No
23/2/19;Yes;No;No
24/2/19;No;Yes;Yes
25/2/19;Yes;No;No
26/2/19;Yes;No;No
27/2/19;Yes;No;No
28/2/19;No;No;Yes
1/3/19;No;No;No
2/3/19;No;No;No
3/3/19;No;Yes;Yes
4/3/19;No;No;No
5/3/19;No;No;No
6/3/19;No;No;No
7/3/19;No;No;Yes
8/3/19;No;No;No
9/3/19;No;No;No
10/3/19;No;Yes;Yes
11/3/19;No;No;No
12/3/19;No;No;No
13/3/19;No;No;No
14/3/19;No;No;Yes
15/3/19;No;No;No
16/3/19;No;No;No
17/3/19;No;Yes;Yes
18/3/19;No;No;No
19/3/19;No;No;No
20/3/19;No;No;No
