index,percentage_docks_available
0,0.8502195
1,0.79923236
2,0.8947004
3,0.9269957
4,0.69131815
5,0.36758563
6,0.5445869
7,0.6489166
8,1.005132
9,1.0117753
10,0.72890764
11,0.5631166
12,1.2054706
13,1.5544372
14,0.54533464
15,1.4320517
16,0.7223776
17,1.0363485
18,0.51414293
19,1.072927
20,0.4191171
21,0.590739
22,1.2074597
23,0.6343038
24,0.8620583
25,0.8109554
26,1.0872076
27,0.86308223
28,1.068569
29,0.26163122
30,0.86579585
31,0.04801224
32,0.78632736
33,0.12232971
34,0.70719475
35,0.6994217
36,0.27703547
37,0.5090112
38,0.5077911
39,0.70556384
40,0.2774049
41,1.1948681
42,0.6904654
43,0.2450383
44,0.5695392
45,0.5979055
46,0.24991801
47,0.7940764
48,0.8834353
49,0.7277829
50,0.55669725
51,0.46074638
52,0.45575184
53,0.27118105
54,1.136761
55,0.35134664
56,0.5438928
57,0.6254505
58,1.0833669
59,0.5189629
60,0.56080526
61,0.76086974
62,0.61264616
63,0.11865914
64,0.4774566
65,0.92922777
66,0.93592864
67,0.79978484
68,0.46308473
69,0.29946032
70,0.7455227
71,0.6095373
72,1.1151936
73,0.19342852
74,-0.08254993
75,0.8533996
76,0.6459792
77,0.99824405
78,0.75870746
79,0.18219054
80,0.19876517
81,0.5396345
82,1.0986938
83,0.363153
84,0.66044617
85,0.8061317
86,0.5874013
87,0.61300975
88,0.93726736
89,1.0592294
90,0.4330106
91,0.6596691
92,0.34997916
93,1.1904111
94,0.93829316
95,0.13460654
96,0.5066786
97,1.1654932
98,0.06357777
99,0.33654028
100,0.8900618
101,0.8620718
102,0.44469452
103,0.5698954
104,0.13059849
105,0.5367611
106,1.1931748
107,0.5244616
108,0.08443163
109,0.5356549
110,0.33028817
111,0.21165213
112,1.133681
113,0.6677513
114,0.10723899
115,0.7390279
116,0.5639477
117,0.97661054
118,1.0196064
119,0.682827
120,0.8086283
121,0.36360565
122,1.0348084
123,0.50888586
124,0.21003246
125,1.2530477
126,1.084286
127,1.0332112
128,1.039166
129,0.2612381
130,1.238734
131,0.113993645
132,0.6334567
133,0.51196194
134,0.34434682
135,0.57901204
136,0.60511625
137,0.7871449
138,0.7739403
139,1.0233046
140,0.6250007
141,1.5434227
142,0.79554325
143,0.7916234
144,0.14889401
145,0.5317721
146,0.74430984
147,0.5098581
148,1.2258146
149,0.9975668
150,0.76286745
151,1.032352
152,0.33391395
153,1.0420439
154,0.64844555
155,0.544383
156,0.49940288
157,0.68565786
158,0.3343798
159,0.7045029
160,0.6575095
161,1.1720724
162,0.51531786
163,0.8676936
164,0.91288257
165,0.90972215
166,1.0090287
167,0.4170104
168,1.1461766
169,0.5365054
170,0.71296734
171,0.8615694
172,0.54162544
173,0.8298238
174,0.7398361
175,0.14078385
176,0.31691998
177,0.7824623
178,0.41021967
179,0.88326675
180,1.4169421
181,0.69482374
182,0.81315523
183,0.7878649
184,0.26469928
185,0.5664123
186,0.91241187
187,0.3636968
188,0.47214344
189,1.3549199
190,0.47957784
191,0.8038807
192,0.36092073
193,0.64094305
194,1.0183794
195,1.1573814
196,0.46412605
197,0.18250823
198,0.2702605
199,0.3711788
200,1.010023
201,0.20951903
202,0.22707087
203,0.82555676
204,0.42307928
205,0.9107026
206,0.90732807
207,0.7595472
208,0.08769685
209,0.6224616
210,0.9809657
211,0.90685946
212,0.8938171
213,0.9096201
214,0.52227116
215,0.72825783
216,0.48523372
217,0.62205863
218,0.67430997
219,1.4103107
220,1.0692105
221,0.9431777
222,0.757984
223,0.5194608
224,-0.1625098
225,0.3639043
226,0.43008325
227,0.41998702
228,0.6661917
229,0.68877953
230,0.56830335
231,0.69886935
232,1.203917
233,0.78945154
234,0.28937083
235,0.96696585
236,0.44633633
237,0.26321495
238,0.89602685
239,0.5622997
240,0.22553672
